| INPUT=00000000 | REVERSE=00000000 | Palindrome=1 |
| INPUT=01010010 | REVERSE=01001010 | Palindrome=0 |
| INPUT=01010011 | REVERSE=11001010 | Palindrome=0 |
| INPUT=01010100 | REVERSE=00101010 | Palindrome=0 |
| INPUT=01010101 | REVERSE=10101010 | Palindrome=0 |
| INPUT=01010110 | REVERSE=01101010 | Palindrome=0 |
| INPUT=01010111 | REVERSE=11101010 | Palindrome=0 |
| INPUT=01011000 | REVERSE=00011010 | Palindrome=0 |
| INPUT=01011001 | REVERSE=10011010 | Palindrome=0 |
| INPUT=01011010 | REVERSE=01011010 | Palindrome=1 |
| INPUT=01011011 | REVERSE=11011010 | Palindrome=0 |
| INPUT=01011100 | REVERSE=00111010 | Palindrome=0 |
| INPUT=01011101 | REVERSE=10111010 | Palindrome=0 |
| INPUT=01011110 | REVERSE=01111010 | Palindrome=0 |
| INPUT=01011111 | REVERSE=11111010 | Palindrome=0 |
| INPUT=01100000 | REVERSE=00000110 | Palindrome=0 |
| INPUT=01100001 | REVERSE=10000110 | Palindrome=0 |
| INPUT=01100010 | REVERSE=01000110 | Palindrome=0 |
| INPUT=01100011 | REVERSE=11000110 | Palindrome=0 |
| INPUT=01100100 | REVERSE=00100110 | Palindrome=0 |
| INPUT=01100101 | REVERSE=10100110 | Palindrome=0 |
| INPUT=01100110 | REVERSE=01100110 | Palindrome=1 |
| INPUT=01100111 | REVERSE=11100110 | Palindrome=0 |
| INPUT=01101000 | REVERSE=00010110 | Palindrome=0 |
| INPUT=01101001 | REVERSE=10010110 | Palindrome=0 |
| INPUT=01101010 | REVERSE=01010110 | Palindrome=0 |
| INPUT=01101011 | REVERSE=11010110 | Palindrome=0 |
| INPUT=01101100 | REVERSE=00110110 | Palindrome=0 |
| INPUT=01101101 | REVERSE=10110110 | Palindrome=0 |
| INPUT=01101110 | REVERSE=01110110 | Palindrome=0 |
| INPUT=01101111 | REVERSE=11110110 | Palindrome=0 |
| INPUT=01110000 | REVERSE=00001110 | Palindrome=0 |
| INPUT=01110001 | REVERSE=10001110 | Palindrome=0 |
| INPUT=01110010 | REVERSE=01001110 | Palindrome=0 |
| INPUT=01110011 | REVERSE=11001110 | Palindrome=0 |
| INPUT=01110100 | REVERSE=00101110 | Palindrome=0 |
| INPUT=01110101 | REVERSE=10101110 | Palindrome=0 |
| INPUT=01110110 | REVERSE=01101110 | Palindrome=0 |
| INPUT=01110111 | REVERSE=11101110 | Palindrome=0 |
| INPUT=01111000 | REVERSE=00011110 | Palindrome=0 |
| INPUT=01111001 | REVERSE=10011110 | Palindrome=0 |
| INPUT=01111010 | REVERSE=01011110 | Palindrome=0 |
| INPUT=01111011 | REVERSE=11011110 | Palindrome=0 |
| INPUT=01111100 | REVERSE=00111110 | Palindrome=0 |
| INPUT=01111101 | REVERSE=10111110 | Palindrome=0 |
| INPUT=01111110 | REVERSE=01111110 | Palindrome=1 |
| INPUT=01111111 | REVERSE=11111110 | Palindrome=0 |
